Unnamed: 0,SOZLESME_KODU,UZUNKOD,Underlying,Type,Strike,Expiry,Conversion,Future,MM,TARIH,varant_kapanis_fiyati,vadeli_kapanis_fiyati,varant_teminat,viop_teminat
0,AB1AM.V,AKBNKC3107240090.00IYF00000.1NA ,AKBNK,C,90.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.01,65.8,0.1,10.0
1,AB1AN.V,AKBNKC3107240080.00IYF00000.1NA ,AKBNK,C,80.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.01,65.8,0.1,10.0
2,AB1AO.V,AKBNKC3107240075.00IYF00000.1NA ,AKBNK,C,75.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.02,65.8,0.2,10.0
3,AB1AP.V,AKBNKC3107240065.00IYF00000.1NA ,AKBNK,C,65.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.13,65.8,1.3,10.0
4,AB1AQ.V,AKBNKC3107240060.00IYF00000.1NA ,AKBNK,C,60.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.52,65.8,5.2,10.0
5,AB1AR.V,AKBNKC2908240105.00IYF00000.1NA ,AKBNK,C,105.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.01,68.0,0.1,10.34
6,AB1AS.V,AKBNKC2908240090.00IYF00000.1NA ,AKBNK,C,90.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.05,68.0,0.5,10.34
7,AB1AT.V,AKBNKC2908240083.00IYF00000.1NA ,AKBNK,C,83.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.09,68.0,0.9,10.34
8,AB1AU.V,AKBNKC2908240075.00IYF00000.1NA ,AKBNK,C,75.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.23,68.0,2.3,10.34
9,AB1AV.V,AKBNKC2908240065.00IYF00000.1NA ,AKBNK,C,65.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.58,68.0,5.8,10.34
10,AB1AW.V,AKBNKC3009240100.00IYF00000.1NA ,AKBNK,C,100.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.08,70.91,0.8,10.78
11,AB1AX.V,AKBNKC3009240087.00IYF00000.1NA ,AKBNK,C,87.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.24,70.91,2.4,10.78
12,AB1AY.V,AKBNKC3009240080.00IYF00000.1NA ,AKBNK,C,80.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.36,70.91,3.6,10.78
13,AB1AZ.V,AKBNKC3009240070.00IYF00000.1NA ,AKBNK,C,70.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.69,70.91,6.9,10.78
14,AB1BA.V,AKBNKC3009240062.00IYF00000.1NA ,AKBNK,C,62.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,1.09,70.91,10.9,10.78
15,AB1PM.V,AKBNKP3107240075.00IYF00000.1NA ,AKBNK,P,75.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.97,65.8,9.7,10.0
16,AB1PN.V,AKBNKP3107240068.00IYF00000.1NA ,AKBNK,P,68.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.32,65.8,3.2,10.0
17,AB1PO.V,AKBNKP3107240060.00IYF00000.1NA ,AKBNK,P,60.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.04,65.8,0.4,10.0
18,AB1PP.V,AKBNKP3107240053.00IYF00000.1NA ,AKBNK,P,53.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.0,65.8,0.0,10.0
19,AB1PQ.V,AKBNKP3107240047.00IYF00000.1NA ,AKBNK,P,47.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.01,65.8,0.1,10.0
20,AB1PR.V,AKBNKP2908240072.00IYF00000.1NA ,AKBNK,P,72.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.65,68.0,6.5,10.34
21,AB1PS.V,AKBNKP2908240062.00IYF00000.1NA ,AKBNK,P,62.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.21,68.0,2.1,10.34
22,AB1PT.V,AKBNKP2908240056.00IYF00000.1NA ,AKBNK,P,56.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.09,68.0,0.9,10.34
23,AB1PU.V,AKBNKP2908240050.00IYF00000.1NA ,AKBNK,P,50.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.03,68.0,0.3,10.34
24,AB1PV.V,AKBNKP3009240068.00IYF00000.1NA ,AKBNK,P,68.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.48,70.91,4.8,10.78
