SIRA,ISLEM  KODU,BULTEN ADI,BRUT TAKAS,PAZAR
1,PEHOL.E,PERA YATIRIM HOLDING,1,YILDIZ PAZAR
2,AYES.E,AYES CELIK HASIR VE CIT,1,PÖİP
3,BALAT.E,BALATACILAR BALATACILIK,1,PÖİP
4,BASCM.E,BASTAS BASKENT CIMENTO,1,PÖİP
5,CMENT.E,CIMENTAS,1,PÖİP
6,INTEK.E,INNOSA TEKNOLOJI,1,PÖİP
7,ISBIR.E,ISBIR HOLDING,1,PÖİP
8,KENT.E,KENT GIDA,1,PÖİP
9,KLNMA.E,T. KALKINMA BANK.,1,PÖİP
10,KSTUR.E,KUSTUR KUSADASI TURIZM,1,PÖİP
11,ORMA.E,ORMA ORMAN MAHSULLERI,1,PÖİP
12,QNBFK.E,QNB FINANSAL KIRALAMA,1,PÖİP
13,QNBTR.E,QNB BANK,1,PÖİP
14,SNPAM.E,SONMEZ PAMUKLU,1,PÖİP
15,SODSN.E,SODAS SODYUM SANAYII,1,PÖİP
16,SUMAS.E,SUMAS SUNI TAHTA,1,PÖİP
17,UMPAS.E,UMPAS HOLDING,1,PÖİP
18,YBTAS.E,YIBITAS INSAAT MALZEME,1,PÖİP
19,YONGA.E,YONGA MOBILYA,1,PÖİP
20,ATSYH.E,ATLANTIS YATIRIM HOLDING,1,YİP
21,BRKO.E,BIRKO MENSUCAT,1,YİP
22,BRMEN.E,BIRLIK MENSUCAT,1,YİP
23,CASA.E,CASA EMTIA PETROL,1,YİP
24,DIRIT.E,DIRITEKS DIRILIS TEKSTIL,1,YİP
25,EKIZ.E,EKIZ KIMYA,1,YİP
26,EMNIS.E,EMINIS AMBALAJ,1,YİP
27,EUHOL.E,EURO YATIRIM HOLDING,1,YİP
28,KERVN.E,KERVANSARAY YAT. HOLDING,1,YİP
29,KUVVA.E,KUVVA GIDA,1,YİP
30,MEGAP.E,MEGA POLIETILEN,1,YİP
31,MMCAS.E,MMC SAN. VE TIC. YAT.,1,YİP
32,ROYAL.E,ROYAL HALI,1,YİP
33,SNKRN.E,SENKRON SIBER GUVENLIK YAZILIM,1,YİP
34,AGYO.E,ATAKULE GMYO,1,ALT PAZAR
35,AKMGY.E,AKMERKEZ GMYO,1,ALT PAZAR
36,AKSUE.E,AKSU ENERJI,1,ALT PAZAR
37,AKYHO.E,AKDENIZ YATIRIM HOLDING,1,ALT PAZAR
38,ATAGY.E,ATA GMYO,1,ALT PAZAR
39,ATLAS.E,ATLAS YAT. ORT.,1,ALT PAZAR
40,AVGYO.E,AVRASYA GMYO,1,ALT PAZAR
41,AVTUR.E,AVRASYA PETROL VE TUR.,1,ALT PAZAR
42,BMSCH.E,BMS CELIK HASIR,1,ALT PAZAR
43,BURVA.E,BURCELIK VANA,1,ALT PAZAR
44,COSMO.E,COSMOS YAT. HOLDING,1,ALT PAZAR
45,CRDFA.E,CREDITWEST FAKTORING,1,ALT PAZAR
46,DAGHL.E,DAGI YATIRIM HOLDING,1,ALT PAZAR
47,DGGYO.E,DOGUS GMYO,1,ALT PAZAR
48,DOGUB.E,DOGUSAN,1,ALT PAZAR
49,ERSU.E,ERSU GIDA,1,ALT PAZAR
50,ETILR.E,ETILER GIDA,1,ALT PAZAR
51,ETYAT.E,EURO TREND YAT. ORT.,1,ALT PAZAR
52,EUKYO.E,EURO KAPITAL YAT. ORT.,1,ALT PAZAR
53,EUYO.E,EURO YAT. ORT.,1,ALT PAZAR
54,GLBMD.E,GLOBAL MEN. DEG.,1,ALT PAZAR
55,GRNYO.E,GARANTI YAT. ORT.,1,ALT PAZAR
56,HATEK.E,HATAY TEKSTIL,1,ALT PAZAR
57,HUBVC.E,HUB GIRISIM,1,ALT PAZAR
58,IDGYO.E,IDEALIST GMYO,1,ALT PAZAR
59,IHEVA.E,IHLAS EV ALETLERI,1,ALT PAZAR
60,ISATR.E,IS BANKASI (A),1,ALT PAZAR
61,ISBTR.E,IS BANKASI (B),1,ALT PAZAR
62,ISKUR.E,IS BANKASI (KUR.),1,ALT PAZAR
63,IZINV.E,IZ YATIRIM HOLDING,1,ALT PAZAR
64,LYDYE.E,LYDIA YESIL ENERJI,1,ALT PAZAR
65,MANAS.E,MANAS ENERJI YONETIMI,1,ALT PAZAR
66,MARKA.E,MARKA YATIRIM HOLDING,1,ALT PAZAR
67,MEPET.E,METRO PETROL VE TESISLERI,1,ALT PAZAR
68,MTRYO.E,METRO YAT. ORT.,1,ALT PAZAR
69,MZHLD.E,MAZHAR ZORLU HOLDING,1,ALT PAZAR
70,ORCAY.E,ORCAY ORTAKOY CAY SANAYI,1,ALT PAZAR
71,OTTO.E,OTTO HOLDING,1,ALT PAZAR
72,OYAYO.E,OYAK YAT. ORT.,1,ALT PAZAR
73,OYLUM.E,OYLUM SINAI YATIRIMLAR,1,ALT PAZAR
74,OZRDN.E,OZERDEN AMBALAJ,1,ALT PAZAR
