HISSE KODU,HISSE ADI,TOPLAM PAY SAYISI,DOLAŞIMDAKİ PAY ORANI,HALKA ACIK SENET,HALKA ACIK DEGER,PIYASA DEGERI
AEFES.E,ANADOLU EFES,592.105.263,0.32,189.473.684,31.414.736.834,98.171.052.605
AGHOL.E,ANADOLU GRUBU HOLDING,243.534.518,0.34,82.801.736,26.082.546.874,76.713.373.157
AGROT.E,AGROTECH TEKNOLOJI,1.200.000.000,0.32,384.000.000,4.120.320.000,12.876.000.000
AKBNK.E,AKBANK,5.200.000.000,0.52,2.704.000.000,179.680.800.000,345.540.000.000
AKFYE.E,AKFEN YEN. ENERJI,1.196.962.446,0.28,335.149.485,6.404.706.656,22.873.952.343
AKSA.E,AKSA,3.885.000.000,0.37,1.437.450.000,15.811.950.000,42.735.000.000
AKSEN.E,AKSA ENERJI,1.226.338.236,0.21,257.531.030,10.965.671.239,52.217.482.089
ALARK.E,ALARKO HOLDING,435.000.000,0.37,160.950.000,14.445.262.500,39.041.250.000
ALFAS.E,ALFA SOLAR ENERJI,368.000.000,0.2,73.600.000,5.490.560.000,27.452.800.000
ALTNY.E,ALTINAY SAVUNMA,235.294.118,0.25,58.823.530,4.494.117.654,17.976.470.615
ANHYT.E,ANADOLU HAYAT EMEK.,430.000.000,0.17,73.100.000,7.814.390.000,45.967.000.000
ANSGR.E,ANADOLU SIGORTA,500.000.000,0.35,175.000.000,19.845.000.000,56.700.000.000
ARCLK.E,ARCELIK,675.728.205,0.15,101.359.231,13.278.059.228,88.520.394.855
ARDYZ.E,ARD BILISIM TEKNOLOJILERI,170.000.000,0.75,127.500.000,4.985.250.000,6.647.000.000
ASELS.E,ASELSAN,4.560.000.000,0.26,1.185.600.000,100.953.840.000,388.284.000.000
ASTOR.E,ASTOR ENERJI,998.000.000,0.28,279.440.000,35.768.320.000,127.744.000.000
BERA.E,BERA HOLDING,683.200.000,0.64,437.248.000,6.825.441.280,10.664.752.000
BIMAS.E,BIM MAGAZALAR,607.200.000,0.6,364.320.000,187.260.480.000,312.100.800.000
BRSAN.E,BORUSAN BORU SANAYI,141.771.582,0.2,28.354.316,11.660.712.643,58.303.563.213
BRYAT.E,BORUSAN YAT. PAZ.,28.125.000,0.13,3.656.250,6.910.312.500,53.156.250.000
BSOKE.E,BATISOKE CIMENTO,1.600.000.000,0.25,400.000.000,5.132.000.000,20.528.000.000
BTCIM.E,BATI CIMENTO,5.580.000.000,0.42,2.343.600.000,10.686.816.000,25.444.800.000
CANTE.E,CAN2 TERMIK,7.000.000.000,0.51,3.570.000.000,5.712.000.000,11.200.000.000
CCOLA.E,COCA COLA ICECEK,2.798.078.602,0.25,699.519.650,41.901.227.065,167.604.908.260
CIMSA.E,CIMSA,945.591.094,0.45,425.515.992,23.616.137.573,52.480.305.717
CLEBI.E,CELEBI,24.300.000,0.12,2.916.000,5.721.192.000,47.676.600.000
CVKMD.E,CVK MADEN,42.000.000,0.26,10.920.000,3.573.570.000,13.744.500.000
CWENE.E,CW ENERJI,1.000.000.000,0.29,290.000.000,5.887.000.000,20.300.000.000
