INDEX CODE,INDEX NAMES IN TURKISH,INDICES,INDEX CURRENCY TYPE,INDEX CURRENCY RATE,BEFORE ADJUSTMENT/AFTER ADJUSTMENT/AFTER NEW DAY,EQUITY CURRENCY TYPE,EQUITY CURRENCY RATE,EQUITY CODE, EQUITY NAME,TOTAL NUMBER OF SHARES,CLOSE/ VWAP,FREE FLOAT RATIO,WEIGHTING FACTOR,WEIGHT (%)
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,AEFES.E,ANADOLU EFES,592105263.0,CLOSE(KAPANIS),0.32,1.0,1.0852
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,AGHOL.E,ANADOLU GRUBU HOLDING,243534517.96,CLOSE(KAPANIS),0.34,1.0,0.9143
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,AGROT.E,AGROTECH TEKNOLOJI,1200000000.0,CLOSE(KAPANIS),0.32,1.0,0.1441
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,AKBNK.E,AKBANK,5200000000.0,CLOSE(KAPANIS),0.52,1.0,6.6128
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,AKFYE.E,AKFEN YEN. ENERJI,1196962446.0,CLOSE(KAPANIS),0.28,1.0,0.2275
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,AKSA.E,AKSA,3885000000.0,CLOSE(KAPANIS),0.37,1.0,0.5303
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,AKSEN.E,AKSA ENERJI,1226338236.0,CLOSE(KAPANIS),0.21,1.0,0.3759
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,ALARK.E,ALARKO HOLDING,435000000.0,CLOSE(KAPANIS),0.37,1.0,0.5081
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,ALFAS.E,ALFA SOLAR ENERJI,368000000.0,CLOSE(KAPANIS),0.2,1.0,0.1976
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,ALTNY.E,ALTINAY SAVUNMA,235294118.0,CLOSE(KAPANIS),0.25,1.0,0.1571
XU100,BIST 100,BIST 100,TRY,1,AFTER ADJUSTMENT/DUZELTME SONRASI,TRY,1,ANHYT.E,ANADOLU HAYAT EMEK.,430000000.0,CLOSE(KAPANIS),0.17,1.0,0.2756
