ISLEM  KODU,SOZLESME KODU,BIST 100 ENDEKS,BIST 30 ENDEKS
AEFES.E,F_AEFES0125,1,1
AEFES.E,F_AEFES0225,1,1
AEFES.E,F_AEFES0325,1,1
AKBNK.E,F_AKBNK0125,1,1
AKBNK.E,F_AKBNK0225,1,1
AKBNK.E,F_AKBNK0325,1,1
AKSEN.E,F_AKSEN0125,1,0
AKSEN.E,F_AKSEN0225,1,0
AKSEN.E,F_AKSEN0325,1,0
ALARK.E,F_ALARK0125,1,1
ALARK.E,F_ALARK0225,1,1
ALARK.E,F_ALARK0325,1,1
ARCLK.E,F_ARCLK0125,1,0
ARCLK.E,F_ARCLK0225,1,0
ARCLK.E,F_ARCLK0325,1,0
ASELS.E,F_ASELS0125,1,1
ASELS.E,F_ASELS0225,1,1
ASELS.E,F_ASELS0325,1,1
ASTOR.E,F_ASTOR0125,1,1
ASTOR.E,F_ASTOR0225,1,1
ASTOR.E,F_ASTOR0325,1,1
BIMAS.E,F_BIMAS0125,1,1
BIMAS.E,F_BIMAS0225,1,1
BIMAS.E,F_BIMAS0325,1,1
BRSAN.E,F_BRSAN0125,1,0
BRSAN.E,F_BRSAN0225,1,0
BRSAN.E,F_BRSAN0325,1,0
CIMSA.E,F_CIMSA0125,1,0
CIMSA.E,F_CIMSA0225,1,0
CIMSA.E,F_CIMSA0325,1,0
DOAS.E,F_DOAS0125,1,0
DOAS.E,F_DOAS0225,1,0
DOAS.E,F_DOAS0325,1,0
DOHOL.E,F_DOHOL0125,1,0
DOHOL.E,F_DOHOL0225,1,0
DOHOL.E,F_DOHOL0325,1,0
EKGYO.E,F_EKGYO0125,1,1
EKGYO.E,F_EKGYO0225,1,1
EKGYO.E,F_EKGYO0325,1,1
ENJSA.E,F_ENJSA0125,1,0
ENJSA.E,F_ENJSA0225,1,0
ENJSA.E,F_ENJSA0325,1,0
ENKAI.E,F_ENKAI0125,1,1
ENKAI.E,F_ENKAI0225,1,1
ENKAI.E,F_ENKAI0325,1,1
EREGL.E,F_EREGL0125N1,1,1
EREGL.E,F_EREGL0225,1,1
EREGL.E,F_EREGL0325,1,1
FROTO.E,F_FROTO0125,1,1
FROTO.E,F_FROTO0225,1,1
FROTO.E,F_FROTO0325,1,1
GARAN.E,F_GARAN0125,1,1
GARAN.E,F_GARAN0225,1,1
GARAN.E,F_GARAN0325,1,1
GUBRF.E,F_GUBRF0125,1,0
GUBRF.E,F_GUBRF0225,1,0
GUBRF.E,F_GUBRF0325,1,0
HALKB.E,F_HALKB0125,1,0
HALKB.E,F_HALKB0225,1,0
HALKB.E,F_HALKB0325,1,0
HEKTS.E,F_HEKTS0125,1,1
HEKTS.E,F_HEKTS0225,1,1
HEKTS.E,F_HEKTS0325,1,1
ISCTR.E,F_ISCTR0125,1,1
ISCTR.E,F_ISCTR0225,1,1
ISCTR.E,F_ISCTR0325,1,1
KCHOL.E,F_KCHOL0125,1,1
KCHOL.E,F_KCHOL0225,1,1
KCHOL.E,F_KCHOL0325,1,1
KONTR.E,F_KONTR0125,1,1
KONTR.E,F_KONTR0225,1,1
KONTR.E,F_KONTR0325,1,1
KOZAA.E,F_KOZAA0125,1,0
KOZAA.E,F_KOZAA0225,1,0
KOZAA.E,F_KOZAA0325,1,0
KOZAL.E,F_KOZAL0125,1,1
KOZAL.E,F_KOZAL0225,1,1
KOZAL.E,F_KOZAL0325,1,1
KRDMD.E,F_KRDMD0125,1,1
KRDMD.E,F_KRDMD0225,1,1
KRDMD.E,F_KRDMD0325,1,1
MGROS.E,F_MGROS0125,1,1
MGROS.E,F_MGROS0225,1,1
MGROS.E,F_MGROS0325,1,1
ODAS.E,F_ODAS0125,1,0
ODAS.E,F_ODAS0225,1,0
ODAS.E,F_ODAS0325,1,0
OYAKC.E,F_OYAKC0125N1,1,0
OYAKC.E,F_OYAKC0225N1,1,0
OYAKC.E,F_OYAKC0325,1,0
PETKM.E,F_PETKM0125,1,1
PETKM.E,F_PETKM0225,1,1
PETKM.E,F_PETKM0325,1,1
PGSUS.E,F_PGSUS0125,1,1
PGSUS.E,F_PGSUS0225,1,1
PGSUS.E,F_PGSUS0325,1,1
SAHOL.E,F_SAHOL0125,1,1
SAHOL.E,F_SAHOL0225,1,1
SAHOL.E,F_SAHOL0325,1,1
SASA.E,F_SASA0125,1,1
SASA.E,F_SASA0225,1,1
SASA.E,F_SASA0325,1,1
SISE.E,F_SISE0125,1,1
SISE.E,F_SISE0225,1,1
SISE.E,F_SISE0325,1,1
SOKM.E,F_SOKM0125,1,0
SOKM.E,F_SOKM0225,1,0
SOKM.E,F_SOKM0325,1,0
TAVHL.E,F_TAVHL0125,1,0
TAVHL.E,F_TAVHL0225,1,0
TAVHL.E,F_TAVHL0325,1,0
TCELL.E,F_TCELL0125,1,1
TCELL.E,F_TCELL0225,1,1
TCELL.E,F_TCELL0325,1,1
THYAO.E,F_THYAO0125,1,1
THYAO.E,F_THYAO0225,1,1
THYAO.E,F_THYAO0325,1,1
TKFEN.E,F_TKFEN0125,1,0
TKFEN.E,F_TKFEN0225,1,0
TKFEN.E,F_TKFEN0325,1,0
TOASO.E,F_TOASO0125,1,1
TOASO.E,F_TOASO0225,1,1
TOASO.E,F_TOASO0325,1,1
TSKB.E,F_TSKB0125,1,0
TSKB.E,F_TSKB0225,1,0
TSKB.E,F_TSKB0325,1,0
TTKOM.E,F_TTKOM0125,1,1
TTKOM.E,F_TTKOM0225,1,1
TTKOM.E,F_TTKOM0325,1,1
TUPRS.E,F_TUPRS0125,1,1
TUPRS.E,F_TUPRS0225,1,1
TUPRS.E,F_TUPRS0325,1,1
ULKER.E,F_ULKER0125,1,1
ULKER.E,F_ULKER0225,1,1
ULKER.E,F_ULKER0325,1,1
VAKBN.E,F_VAKBN0125,1,0
VAKBN.E,F_VAKBN0225,1,0
VAKBN.E,F_VAKBN0325,1,0
VESTL.E,F_VESTL0125,1,0
VESTL.E,F_VESTL0225,1,0
VESTL.E,F_VESTL0325,1,0
YKBNK.E,F_YKBNK0125,1,1
YKBNK.E,F_YKBNK0225,1,1
YKBNK.E,F_YKBNK0325,1,1
