# Date: 2025-01-27
EQUITY,ISLEM KODU,STRIKE PRICE,CLOSING PRICE,FUTURE,RATIO
AKBNK.E,ANITB.V,70.0,66.45,F_AKBNK0125,0.05
ALARK.E,LRIRS.V,110.0,89.75,F_ALARK0125,0.23
ASELS.E,AEITB.V,80.0,85.15,F_ASELS0125,-0.06
ASTOR.E,ATISH.V,110.0,128.0,F_ASTOR0125,-0.14
BIMAS.E,BIIUQ.V,550.0,514.0,F_BIMAS0125,0.07
DOAS.E,DO1QC.V,220.0,195.0,F_DOAS0125,0.13
EKGYO.E,EYITB.V,14.0,14.6,F_EKGYO0125,-0.04
ENKAI.E,EIISR.V,60.0,50.95,F_ENKAI0125,0.18
EREGL.E,EDBRL.V,27.5,23.3,F_EREGL0125N1,0.18
EREGL.E,ELISW.V,27.5,23.3,F_EREGL0125N1,0.18
FROTO.E,FRIVG.V,1100.0,932.5,F_FROTO0125,0.18
GARAN.E,GNIQZ.V,140.0,132.3,F_GARAN0125,0.06
HEKTS.E,HEIUK.V,4.6,3.82,F_HEKTS0125,0.2
ISCTR.E,ICIVL.V,16.0,14.5,F_ISCTR0125,0.1
KCHOL.E,KOISW.V,230.0,179.0,F_KCHOL0125,0.28
KONTR.E,KTIRD.V,50.0,37.02,F_KONTR0125,0.35
KOZAL.E,KZIRQ.V,24.0,24.3,F_KOZAL0125,-0.01
KRDMD.E,KDIUQ.V,31.0,26.98,F_KRDMD0125,0.15
MGROS.E,MRIPK.V,550.0,559.5,F_MGROS0125,-0.02
PETKM.E,PTIWA.V,21.0,18.11,F_PETKM0125,0.16
PGSUS.E,PGSQF.V,241.0,230.2,F_PGSUS0125,0.05
SAHOL.E,SOISW.V,100.0,102.0,F_SAHOL0125,-0.02
SASA.E,SLIRQ.V,4.9,3.84,F_SASA0125,0.28
SISE.E,SSIUQ.V,45.0,39.36,F_SISE0125,0.14
TCELL.E,TLIUQ.V,100.0,106.4,F_TCELL0125,-0.06
THYAO.E,TYITB.V,340.0,309.0,F_THYAO0125,0.1
TOASO.E,TOIUX.V,220.0,216.0,F_TOASO0125,0.02
TTKOM.E,TEIQI.V,50.0,49.7,F_TTKOM0125,0.01
TTKOM.E,TT1PO.V,50.0,49.7,F_TTKOM0125,0.01
TUPRS.E,TRITB.V,160.0,143.2,F_TUPRS0125,0.12
ULKER.E,UL1PO.V,125.0,120.7,F_ULKER0125,0.04
YKBNK.E,YPIVG.V,34.0,32.46,F_YKBNK0125,0.05
