# Date: 2025-01-03
EQUITY,ISLEM KODU,STRIKE PRICE,CLOSING PRICE,FUTURE,RATIO
AKBNK.E,ABADE.V,102.0,66.2,F_AKBNK0125,0.54
ALARK.E,LRACF.V,150.0,92.9,F_ALARK0125,0.61
ALARK.E,LRICW.V,150.0,92.9,F_ALARK0125,0.61
ASELS.E,ASAHZ.V,112.0,73.5,F_ASELS0125,0.52
ASTOR.E,ATIDL.V,160.0,119.4,F_ASTOR0125,0.34
BIMAS.E,BIAFX.V,820.0,531.0,F_BIMAS0125,0.54
DOAS.E,DO1BK.V,320.0,192.9,F_DOAS0125,0.66
EKGYO.E,EKAIR.V,22.0,13.81,F_EKGYO0125,0.59
ENKAI.E,EIADJ.V,92.0,49.84,F_ENKAI0125,0.85
EREGL.E,EDBFO.V,41.0,24.5,F_EREGL0125N1,0.67
FROTO.E,FRAFP.V,1800.0,940.5,F_FROTO0125,0.91
GARAN.E,GABFK.V,190.0,128.8,F_GARAN0125,0.48
GARAN.E,GNIBX.V,190.0,128.8,F_GARAN0125,0.48
HEKTS.E,HEIFP.V,6.2,3.91,F_HEKTS0125,0.59
ISCTR.E,ICBFN.V,21.0,14.05,F_ISCTR0125,0.49
ISCTR.E,ICIGQ.V,21.0,14.05,F_ISCTR0125,0.49
KCHOL.E,KHBFI.V,325.0,184.9,F_KCHOL0125,0.76
KONTR.E,KTABV.V,98.0,38.66,F_KONTR0125,1.53
KOZAL.E,KZAHF.V,38.0,22.46,F_KOZAL0125,0.69
KOZAL.E,KZBFI.V,38.0,22.46,F_KOZAL0125,0.69
KRDMD.E,KRBFJ.V,46.0,27.8,F_KRDMD0125,0.65
MGROS.E,MGAAA.V,720.0,538.5,F_MGROS0125,0.34
PETKM.E,PEBFJ.V,32.0,18.0,F_PETKM0125,0.78
PGSUS.E,PGAGQ.V,420.0,215.6,F_PGSUS0125,0.95
SAHOL.E,SAADE.V,145.0,99.7,F_SAHOL0125,0.45
SASA.E,SLAGF.V,6.8,4.09,F_SASA0125,0.66
SISE.E,SSBFO.V,66.0,41.68,F_SISE0125,0.58
TCELL.E,TLAID.V,155.0,96.05,F_TCELL0125,0.61
THYAO.E,TYIEF.V,460.0,287.5,F_THYAO0125,0.6
TOASO.E,TOAFH.V,340.0,212.2,F_TOASO0125,0.6
TTKOM.E,TEADS.V,78.0,44.2,F_TTKOM0125,0.76
TUPRS.E,TRBFM.V,240.0,146.1,F_TUPRS0125,0.64
ULKER.E,ULAAA.V,190.0,118.4,F_ULKER0125,0.6
YKBNK.E,YBAIX.V,46.0,31.8,F_YKBNK0125,0.45
YKBNK.E,YPBFM.V,46.0,31.8,F_YKBNK0125,0.45
YKBNK.E,YPIGK.V,46.0,31.8,F_YKBNK0125,0.45
