TARIH;ISLEM  KODU;BULTEN ADI;PAZAR GRUBU;PAZAR;YAPISAL BAZDA PIYASA ALT BOLUMU;ENSTRUMAN GRUBU;ENSTRUMAN TIPI;ENSTRUMAN SINIFI;ISLEM YONTEMI;PIYASA YAPICI;BIST 100 ENDEKS;BIST 30 ENDEKS;BRUT TAKAS;OZSERMAYE HALI;GECICI DURDURMA;ONCEKI KAPANIS FIYATI;ACILIS FIYATI;ACILIS SEANSI FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI;KAPANIS SEANSI FIYATI;DEGISIM (%);BEKLEYEN EN IYI ALIS;BEKLEYEN EN IYI SATIS;A.O.F;TOPLAM ISLEM HACMI;TOPLAM ISLEM ADEDI;TOPLAM SOZLESME SAYISI;REFERANS FIYAT;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI SOZLESME SAYISI;KAPANIS SEANSI ISLEM HACMI;KAPANIS SEANSI ISLEM MIKTARI;KAPANIS SEANSI SOZLESME SAYISI;KAPANIS FIYATINDAN ISLEMLER ISLEM HACMI;KAPANIS FIYATINDAN ISLEMLER ISLEM MIKTARI;KAPANIS FIYATINDAN ISLEMLER SOZLESME SAYISI;EN DUSUK ACIGA SATIS FIYATI;EN YUKSEK ACIGA SATIS FIYATI;ACIGA SATIS A.O.F;ACIGA SATIS ISLEM HACMI;ACIGA SATIS ISLEM ADEDI;ACIGA SATIS SOZLESME SAYISI;OZEL ISLEM BILDIRIMI EN DUSUK FIYAT;OZEL ISLEM BILDIRIMI EN YUKSEK FIYAT;OZEL ISLEM BILDIRIMI A.O.F.;OZEL ISLEM BILDIRIMI ISLEM HACMI;OZEL ISLEM BILDIRIMI ISLEM ADEDI;OZEL ISLEM BILDIRIMI SOZLESME SAYISI;ORTA NOKTA ISLEMLERI ISLEM HACMI;ORTA NOKTA ISLEMLERI ISLEM ADEDI;ORTA NOKTA ISLEMLERI SOZLESME SAYISI;ACIGA SATIS;BIST KATILIM TUM ENDEKS
TRADE DATE;INSTRUMENT SERIES CODE;INSTRUMENT NAME;MARKET SUB SEGMENT;MARKET SEGMENT;MARKET;INSTRUMENT GROUP;INSTRUMENT TYPE;INSTRUMENT CLASS;TRADING METHOD;MARKET MAKER;BIST 100 INDEX;BIST 30 INDEX;GROSS SETTLEMENT;CORPORATE ACTION;SUSPENDED;PREVIOUS LAST PRICE;OPENING PRICE;OPENING SESSION PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;CLOSING SESSION PRICE;CHANGE TO PREVIOUS CLOSING (%);REMAINING BID;REMAINING ASK;VWAP;TOTAL TRADED VALUE;TOTAL TRADED VOLUME;TOTAL NUMBER OF CONTRACTS;REFERENCE PRICE;TRADED VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;NUMBER OF CONTRACTS AT OPENING SESSION;TRADED VALUE AT CLOSING SESSION;TRADED VOLUME AT CLOSING SESSION;NUMBER OF CONTRACTS AT CLOSING SESSION;TRADED VALUE OF TRADES AT CLOSING PRICE;TRADED VOLUME OF TRADES AT CLOSING PRICE;NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE;LOWEST SHORT SALE PRICE;HIGHEST SHORT SALE PRICE;SHORT SALE VWAP;TRADED VALUE OF SHORT SALE TRADES;TRADED VOLUME OF SHORT SALE TRADES;NUMBER OF CONTRACTS OF SHORT SALE TRADES;LOWEST TRADE REPORT PRICE;HIGHEST TRADE REPORT PRICE;TRADE REPORT VWAP;TRADE REPORT TRADED VALUE;TRADE REPORT TRADED VOLUME;NUMBER OF TRADE REPORTS;MIDPOINT TRADED VALUE;MIDPOINT TRADED VOLUME;MIDPOINT NUMBER OF CONTRACTS;SHORT SELL;BIST PARTICIPATION ALL INDEX
2024-12-06;A1CAP.E;A1 CAPITAL YATIRIM;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTA1CAP;SI;0;0;0;0;;0;24.66;25;25;24.9;25.74;25.06;25.06;1.622;25.06;25.08;25.255;57796145.4;2288508;3870;0;949500;37980;90;222833.52;8892;21;363370;14500;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-12-06;ADEL.E;ADEL KALEMCILIK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTADEL;SI;0;1;0;0;;0;35.84;35.88;35.88;35.38;36.46;36.04;36.04;0.558;36.02;36.04;35.772;81524803.4;2279019;10128;0;126835.8;3535;50;473709.76;13144;47;345443.4;9585;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-12-06;ADESE.E;ADESE GAYRIMENKUL;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTADESE;SI;0;0;0;0;;0;2.29;2.32;2.32;2.26;2.32;2.26;2.26;-1.31;2.26;2.27;2.285;110635619.16;48427497;6240;0;2444038.8;1053465;309;1700555.08;752458;74;1562591.12;691412;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2024-12-06;ADGYO.E;ADRA GMYO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTADGYO;SI;0;0;0;0;;0;32.4;32.7;32.7;32.24;33;32.52;32.52;0.37;32.52;32.6;32.696;28062213.36;858271;2460;0;75177.3;2299;48;619733.64;19057;25;325.2;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-12-06;AEFES.E;ANADOLU EFES;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAEFES;SI;0;1;0;0;;0;213;215.4;215.4;214.2;227.9;227.4;227.4;6.761;227;227.4;223.872;1721291783.7;7688741;49629;0;4838961;22465;230;22445971.8;98707;199;855933.6;3764;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-12-06;AFYON.E;AFYON CIMENTO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAFYON;SI;0;0;0;0;;0;14.51;14.59;14.59;14.38;14.59;14.47;14.47;-0.276;14.46;14.47;14.481;110688289.4;7643642;9353;0;902012.16;61824;129;2505958.01;173183;69;485555.32;33556;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-12-06;AGESA.E;AGESA HAYAT EMEKLILIK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAGESA;SI;0;0;0;0;;0;143.6;144.6;144.6;140.9;147.4;147.2;147.2;2.507;145.5;147.2;143.776;47573145.4;330884;3092;0;99918.6;691;32;1551635.2;10541;48;294.4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-12-06;AGHOL.E;ANADOLU GRUBU HOLDING;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAGHOL;SI;0;1;0;0;;0;336.5;339.75;339.75;338;360;359.75;359.75;6.909;359.75;360;350.669;532475300.25;1518457;20031;0;2548464.75;7501;93;4228501.5;11754;95;1224589;3404;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-12-06;AGROT.E;AGROTECH TEKNOLOJI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAGROT;SI;0;1;0;0;;0;13.47;13.55;13.55;13.36;13.67;13.37;13.37;-0.742;13.36;13.37;13.508;375318210.64;27784186;30974;0;1272670.2;93924;237;6236730.64;466472;347;3267815.18;244414;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
