SOZLESME KODU;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;DAYANAK VARLIK;SOZLESME SINIFI;OPSIYON TIPI;VADE TARIHI;SON ISLEM TARIHI;OPSIYON TURU;KULLANIM FIYATI;SOZLESME GRUBU;SOZLESME GRUP NO;SOZLESME BUYUKLUGU;DURUM;SOZLESME TURU;MAKSIMUM EMIR MIKTARI;KULLANIM FIYATI ONDALIK HANESI;UZLASMA TIPI;PARA BIRIMI;SON UZLASMA FIYATI;ALT LIMIT;UST LIMIT;FIYAT ADIMI;FIYAT ONDALIK HANESI;TUREV SEVIYESI;ESNEK SOZLESME;YAKIN VADE SOZLESME(M1);UZAK VADE SOZLESME(M2);NOMINAL DEGER;POZISYON KAPAMA GUNU;TAKAS GUNU;BIRIKMIS FAIZ
CONTRACT CODE;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;UNDERLYING SECURITY;INSTRUMENT CLASS;OPTION TYPE;MATURITY DATE;LAST TRADE DATE;OPTION TYPE;STRIKE PRICE;CONTRACT GROUP;CONTRACT GROUP NUMBER;CONTRACT SIZE;STATUS;FUTURE/OPTION;MAXIMUM BLOCK SIZE;STRIKE PRICE DECIMAL;SETTLEMENT TYPE;CURRENCY;LAST SETTLEMENT PRICE;LOW LIMIT;UP LIMIT;TICK PRICE;PRICE DECIMAL;DERIVATIVE LEVEL;FLEXIBLE PRODUCT;NEAREST MONTH CONTRACT(M1);SECOND NEAREST MONTH CONTRACT(M2);NOTIONAL VALUE;RESET DATE;DELIVERY DATE;ACCRUED INTEREST
F_AEFES1024;D_EQ;SSF;D_EQ_FPD;AEFES.E;DE_AEFES_FPD;;2024-10-31;2024-10-31;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;185.77;167.2;204.34;0.01;2;1;N;;;100; ; ;
F_AEFES1124;D_EQ;SSF;D_EQ_FPD;AEFES.E;DE_AEFES_FPD;;2024-11-29;2024-11-29;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;192.67;173.41;211.93;0.01;2;1;N;;;100; ; ;
F_AEFES1224;D_EQ;SSF;D_EQ_FPD;AEFES.E;DE_AEFES_FPD;;2024-12-31;2024-12-31;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;198.6;178.74;218.46;0.01;2;1;N;;;100; ; ;
F_AKBNK1024;D_EQ;SSF;D_EQ_FPD;AKBNK.E;DE_AKBNK_FPD;;2024-10-31;2024-10-31;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;54.14;48.73;59.55;0.01;2;1;N;;;100; ; ;
F_AKBNK1124;D_EQ;SSF;D_EQ_FPD;AKBNK.E;DE_AKBNK_FPD;;2024-11-29;2024-11-29;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;56.04;50.44;61.64;0.01;2;1;N;;;100; ; ;
F_AKBNK1224;D_EQ;SSF;D_EQ_FPD;AKBNK.E;DE_AKBNK_FPD;;2024-12-31;2024-12-31;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;58.55;52.7;64.4;0.01;2;1;N;;;100; ; ;
F_AKSEN1024;D_EQ;SSF;D_EQ_FPD;AKSEN.E;DE_AKSEN_FPD;;2024-10-31;2024-10-31;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;35.16;31.65;38.67;0.01;2;1;N;;;100; ; ;
F_AKSEN1124;D_EQ;SSF;D_EQ_FPD;AKSEN.E;DE_AKSEN_FPD;;2024-11-29;2024-11-29;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;36.08;32.48;39.68;0.01;2;1;N;;;100; ; ;
F_AKSEN1224;D_EQ;SSF;D_EQ_FPD;AKSEN.E;DE_AKSEN_FPD;;2024-12-31;2024-12-31;;0;S;0;100;A;Future;0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50;;Physical Delivery;TRY;37.84;34.06;41.62;0.01;2;1;N;;;100; ; ;
