# Date: 2025-01-28
EQUITY,ISLEM KODU,STRIKE PRICE,CLOSING PRICE,FUTURE,RATIO
AKBNK.E,AB1RB.V,50.0,66.0,F_AKBNK0125,-0.24
AKBNK.E,AB1RC.V,45.0,66.0,F_AKBNK0125,-0.32
AKBNK.E,AB1RD.V,40.0,66.0,F_AKBNK0125,-0.39
AKBNK.E,AB1RE.V,36.0,66.0,F_AKBNK0125,-0.45
AKBNK.E,ABARY.V,38.0,66.0,F_AKBNK0125,-0.42
AKBNK.E,ABARZ.V,45.0,66.0,F_AKBNK0125,-0.32
AKBNK.E,ABASA.V,52.0,66.0,F_AKBNK0125,-0.21
AKBNK.E,ABBRP.V,65.0,66.0,F_AKBNK0125,-0.02
AKBNK.E,ABBRQ.V,55.0,66.0,F_AKBNK0125,-0.17
AKBNK.E,ABBRR.V,50.0,66.0,F_AKBNK0125,-0.24
AKBNK.E,ABBRS.V,45.0,66.0,F_AKBNK0125,-0.32
AKBNK.E,ABBRT.V,40.0,66.0,F_AKBNK0125,-0.39
AKBNK.E,ABSTN.V,53.2,66.0,F_AKBNK0125,-0.19
AKBNK.E,ABSTO.V,51.9,66.0,F_AKBNK0125,-0.21
AKBNK.E,ABSTP.V,46.9,66.0,F_AKBNK0125,-0.29
AKBNK.E,ABSTQ.V,45.3,66.0,F_AKBNK0125,-0.31
AKBNK.E,ABSTR.V,43.7,66.0,F_AKBNK0125,-0.34
AKBNK.E,ABSTS.V,42.6,66.0,F_AKBNK0125,-0.35
AKBNK.E,ANITB.V,70.0,66.0,F_AKBNK0125,0.06
AKBNK.E,ANITC.V,60.0,66.0,F_AKBNK0125,-0.09
AKBNK.E,ANITD.V,50.0,66.0,F_AKBNK0125,-0.24
AKBNK.E,ANITE.V,45.0,66.0,F_AKBNK0125,-0.32
AKBNK.E,ANITF.V,40.0,66.0,F_AKBNK0125,-0.39
ALARK.E,LR1QX.V,87.0,88.45,F_ALARK0125,-0.02
ALARK.E,LR1QY.V,80.0,88.45,F_ALARK0125,-0.1
ALARK.E,LR1QZ.V,70.0,88.45,F_ALARK0125,-0.21
ALARK.E,LR1RA.V,62.0,88.45,F_ALARK0125,-0.3
ALARK.E,LRAQZ.V,75.0,88.45,F_ALARK0125,-0.15
ALARK.E,LRARA.V,85.0,88.45,F_ALARK0125,-0.04
ALARK.E,LRARB.V,90.0,88.45,F_ALARK0125,0.02
ALARK.E,LRIRS.V,110.0,88.45,F_ALARK0125,0.24
ALARK.E,LRIRT.V,100.0,88.45,F_ALARK0125,0.13
ALARK.E,LRIRU.V,90.0,88.45,F_ALARK0125,0.02
ALARK.E,LRIRV.V,80.0,88.45,F_ALARK0125,-0.1
ALARK.E,LRIRW.V,70.0,88.45,F_ALARK0125,-0.21
ASELS.E,AEITB.V,80.0,85.85,F_ASELS0125,-0.07
ASELS.E,AEITC.V,70.0,85.85,F_ASELS0125,-0.18
ASELS.E,AEITD.V,60.0,85.85,F_ASELS0125,-0.3
ASELS.E,AEITE.V,50.0,85.85,F_ASELS0125,-0.42
ASELS.E,AEITF.V,45.0,85.85,F_ASELS0125,-0.48
ASELS.E,AS1RB.V,67.0,85.85,F_ASELS0125,-0.22
ASELS.E,AS1RC.V,60.0,85.85,F_ASELS0125,-0.3
ASELS.E,AS1RD.V,55.0,85.85,F_ASELS0125,-0.36
ASELS.E,AS1RE.V,48.0,85.85,F_ASELS0125,-0.44
ASELS.E,ASAWT.V,50.0,85.85,F_ASELS0125,-0.42
ASELS.E,ASAWU.V,58.0,85.85,F_ASELS0125,-0.32
