Bist Kodu,Yüzde(%),Tutar,YKK,SPK Onay,Tarih,Son Güncelleme Em,Son Güncelleme Span,Son Güncelleme Tarihi,Çekilme Tarihi
PEHOL - Pera Yatırım Holding A.Ş.,%600,855.360.000 TL,08.07.2024,23.08.2024,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
PETUN - Pınar Entegre Et ve Un Sanayi A.Ş.,%600,260.010.000 TL,31.05.2024,23.08.2024,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
PINSU - Pınar Su San. ve Tic. A.Ş.,%200,189.525.416 TL,30.05.2024,23.08.2024,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
PNSUT - Pınar Süt Mamulleri Sanayi A.Ş.,%600,269.706.307 TL,31.05.2024,23.08.2024,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
DYOBY - Dyo Boya Fabrikaları San. ve Tic. A.Ş.,%200,200.000.000 TL,30.05.2024,23.08.2024,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
HLGYO - Halk Gayrimenkul Yatırım Ortaklığı A.Ş.,%17.01,535.000.000 TL,13.06.2024,23.08.2024,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
EDATA - E-Data Teknoloji Pazarlama A.Ş.,%200,270.000.000 TL,20.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
IZENR - İzdemir Enerji Elektrik Üretim A.Ş.,%325,1.868.750.000 TL,19.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
KMPUR - Kimteks Poliüretan San. ve Tic. A.Ş.,%100,243.100.000 TL,15.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
KUYAS - Kuyaş Yatırım A.Ş.,%300,300.000.000 TL,15.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
BTCIM - Batıçim Batı Anadolu Çimento Sanayii A.Ş.,%3000,5.400.000.000 TL,14.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
TUKAS - Tukaş Gıda San. ve Tic. A.Ş.,%205.64,3.027.690.000 TL,13.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
SKYLP - Skyalp Finansal Teknolojiler ve Danışmanlık A.Ş.,%1000,95.000.000 TL,13.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
PRZMA - Prizma Press Matbaacılık Yayıncılık San. ve Tic. A.Ş.,%200,48.000.000 TL,12.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
MTRKS - Matriks Finansal Teknolojiler A.Ş.,%150,60.300.000 TL,09.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
BMSTL - Bms Birleşik Metal San. ve Tic. A.Ş.,%105.33,76.950.000 TL,06.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
PASEU - Pasifik Eurasia Lojistik Dış Ticaret A.Ş.,%300,504.000.000 TL,02.08.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
TEZOL - Europap Tezol Kağıt San. ve Tic. A.Ş.,%13.63,60.000.000 TL,31.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
EGEPO - Nasmed Özel Sağlık Hizmetleri Ticaret A.Ş.,%300,375.000.000 TL,29.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
ALGYO - Alarko Gayrimenkul Yatırım Ortaklığı A.Ş.,%100,144.900.000 TL,26.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
KRGYO - Körfez Gayrimenkul Yatırım Ortaklığı A.Ş.,%400,264.000.000 TL,23.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
KOPOL - Koza Polyester San. ve Tic. A.Ş.,%500,1.080.800.000 TL,23.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
QNBFL - Qnb Finans Finansal Kiralama A.Ş.,%100,1.000.000.000 TL,23.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
CWENE - Cw Enerji Mühendislik Tic. ve San. A.Ş.,%708.08,876.250.000 TL,19.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
SRVGY - Servet Gayrimenkul Yatırım Ortaklığı A.Ş.,%6150,3.198.000.000 TL,19.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
SNGYO - Sinpaş Gayrimenkul Yatırım Ortaklığı A.Ş.,%166.66,2.500.000.000 TL,18.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
EUREN - Europen Endüstri İnşaat San. ve Tic. A.Ş.,%194.73,1.480.000.000 TL,17.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
DESA - Desa Deri San. ve Tic. A.Ş.,%100,245.000.000 TL,17.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
MERIT - Merit Turizm Yatırım ve İşletme A.Ş.,%1100,308.550.000 TL,11.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
GLYHO - Global Yatırım Holding A.Ş.,%200,1.300.000.000 TL,11.07.2024,...,...,Bedelsiz sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:37:03
