Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2420327a4014209c55161144d,-,,İşlem Görüyor
ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e8d16e0140e8f159dc0033,-,YOKTUR,İşlem Görüyor
ADESE GAYRİMENKUL YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720141164431b905a5,A,"A Grubu paylar Ana Sözleşme?nin 7. ve 15. maddeleri çerçevesinde Yönetim Kurulu üyelerinin belirlenmesi ve
oy hakkı kullanımında imtiyaza sahiptir. 
İmtiyazlı (Oy Hakkı 1 hisse 15 Oy)",İşlem Görmüyor
ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c53018a737800f804ae,A,,İşlem Görmüyor
AFYON ÇİMENTO SANAYİ T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42401415af83d607fd3,-,YOKTUR,İşlem Görüyor
AG ANADOLU GRUBU HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c014101b18dc000f7,A,YOK,İşlem Görüyor
AGESA HAYAT VE EMEKLİLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140edeb7a54015d,-,,Seçim Yapınız
AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48b2fa259018bb9e449415e84,A,Yönetim kuruluna aday gösterme ve genel kurulda oy imtiyazı bulunmaktadır.,İşlem Görmüyor
AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14203278a0142095715f914d0,A,İmtiyaz Var,İşlem Görmüyor
AKBANK T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e8d1830140e905edcd0006,-,Yok,İşlem Görüyor
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e8cfa00140e92b0c380016,-,İmtiyaz Yoktur,İşlem Görüyor
AKDENİZ YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9901416dc64bd161cb,A,"Yönetim Kuruluna aday gösterme, genel kurulda oy hakkı",Seçim Yapınız
AKENERJİ ELEKTRİK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9cf01419bffce0b5a69,-,Yok,İşlem Görüyor
AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141733b56014183c1c6ed426e,A,Genel Kurullarda iki yönetim kurulu üyesi seçme imtiyazı vardır,İşlem Görmüyor
