Tarih,Saat,Kur,Önem,Veri,Beklenti,Önceki,Çekilme Tarihi
26.02.2024,16:00,USD,Orta,İnşaat İzinleri,1.470 Milyon,"1,493 Milyon",2024-10-01 17:07:29
26.02.2024,18:00,USD,Orta,Yeni Konut Satışları (Aylık) (Oca),,8%,2024-10-01 17:07:29
26.02.2024,18:00,USD,Yüksek,Yeni Konut Satışları (Oca),675 Bin,664 Bin,2024-10-01 17:07:29
26.02.2024,18:30,USD,Orta,Dallas Fed İmalat Faaliyet Endeksi,,-274,2024-10-01 17:07:29
27.02.2024,02:30,JPY,Orta,Ulusal Çekirdek Tüketici Fiyat Endeksi (TÜFE) (Yıllık) (Oca),"1,8%","2,3%",2024-10-01 17:07:29
27.02.2024,10:00,EUR,Orta,GFK Tüketici Güven Endeksi (Mar),,-297,2024-10-01 17:07:29
27.02.2024,16:30,USD,Yüksek,Çekirdek Dayanıklı Mal Siparişleri (Aylık) (Oca),,"0,6%",2024-10-01 17:07:29
27.02.2024,16:30,USD,Orta,Dayanıklı Mal Siparişleri (Aylık) (Oca),"-4,5%","0,0%",2024-10-01 17:07:29
27.02.2024,18:00,USD,Yüksek,Conference Board (CB) Tüketici Güveni (Şub ),1140,1148,2024-10-01 17:07:29
27.02.2024,19:00,EUR,Orta,Alman Buba’dan Balz’ın Konuşması,,,2024-10-01 17:07:29
28.02.2024,10:00,TRY,Yüksek,Ekonomik Güven Endeksi,,994,2024-10-01 17:07:29
28.02.2024,10:00,TRY,Yüksek,Dış Ticaret İstatistikleri,,"-6,04 Milyar",2024-10-01 17:07:29
28.02.2024,13:00,EUR,Orta,Euro Bölgesi Tüketici Güven Endeksi,-155,-161,2024-10-01 17:07:29
28.02.2024,16:30,USD,Yüksek,Gayri Safi Yurtiçi Hasıla (GSYİH) (çeyreklik) (4. Çeyrek),"3,3%","4,9%",2024-10-01 17:07:29
28.02.2024,16:30,USD,Orta,Mal Ticaret Dengesi (Oca),,-87.89Milyar,2024-10-01 17:07:29
28.02.2024,17:00,EUR,Orta,"""ECB’den McCaul’un Konuşması """,,,2024-10-01 17:07:29
28.02.2024,20:00,USD,Orta,FOMC Üyesi Bostic’in Konuşması,,,2024-10-01 17:07:29
28.02.2024,20:45,USD,Orta,FOMC Üyesi Williams'ın Konuşması,,,2024-10-01 17:07:29
29.02.2024,02:50,JPY,Orta,Sanayi Üretimi (Aylık) (Oca),"-7,3%","1,4%",2024-10-01 17:07:29
29.02.2024,10:00,TRY,Yüksek,Hizmet Üretici Fiyat Endeksi (Oca),,"81,18%",2024-10-01 17:07:29
29.02.2024,10:00,TRY,Orta,Gayri Safi Yurtiçi Hasıla (GSYİH) (Yıllık) (4. Çeyrek),,"5,9%",2024-10-01 17:07:29
29.02.2024,10:00,EUR,Orta,Almanya Perakende Satışları (Aylık) (Oca),"0,4%","-1,6%",2024-10-01 17:07:29
29.02.2024,11:55,EUR,Orta,Almanya İşsizlik Oranı (Şub ),"5,8%","5,8%",2024-10-01 17:07:29
29.02.2024,14:00,TRY,Yüksek,Para Politikası Toplantı Özeti,,,2024-10-01 17:07:29
29.02.2024,16:00,EUR,Yüksek,Almanya Tüketici Fiyat Endeksi (TÜFE) (Aylık) (Şub ),"0,4%","0,2%",2024-10-01 17:07:29
29.02.2024,16:00,EUR,Orta,Almanya Tüketici Fiyat Endeksi (TÜFE) (Yıllık) (Şub ),,"2,9%",2024-10-01 17:07:29
29.02.2024,16:30,USD,Yüksek,Çekirdek Kişisel Tüketim Giderleri Fiyat Listesi (Aylık) (Oca),,"0,2%",2024-10-01 17:07:29
29.02.2024,16:30,USD,Yüksek,Çekirdek Kişisel Tüketim Giderleri Fiyat Endeksi (Yıllık) (Oca),,"2,9%",2024-10-01 17:07:29
29.02.2024,16:30,USD,Yüksek,İşsizlik Haklarından Yararlanma Başvuruları,,201 Bin,2024-10-01 17:07:29
29.02.2024,16:30,USD,Orta,Kişisel Tüketim Harcamaları Fiyat Endeksi (Yıllık) (Oca),,"2,6%",2024-10-01 17:07:29
29.02.2024,16:30,USD,Orta,Kişisel Tüketim harcamaları Fiyat Endeksi (Aylık) (Oca),"0,3%","0,2%",2024-10-01 17:07:29
29.02.2024,16:30,USD,Orta,Kişisel Gider (Aylık) (Oca),"0,3%","0,7%",2024-10-01 17:07:29
29.02.2024,17:45,USD,Orta,Chicago Satın Alma Müdürleri Endeksi (Şub ),,460,2024-10-01 17:07:29
