ISLEM KODU,BULTEN ADI,DAYANAK VARLIK,SOZLESME KODU,VADE TARIHI,SOZLESME TIPI,ENSTRUMAN GRUBU
AB1AW.V,AKBNKC3009240100.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1AX.V,AKBNKC3009240087.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1AY.V,AKBNKC3009240080.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1AZ.V,AKBNKC3009240070.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BA.V,AKBNKC3009240062.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BB.V,AKBNKC3110240090.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BC.V,AKBNKC3110240080.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BD.V,AKBNKC3110240075.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BE.V,AKBNKC3110240065.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BF.V,AKBNKC3110240060.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BG.V,AKBNKC1510240081.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BH.V,AKBNKC1510240073.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BI.V,AKBNKC1510240065.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BJ.V,AKBNKC1510240059.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BK.V,AKBNKC2911240090.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BL.V,AKBNKC2911240081.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BM.V,AKBNKC2911240074.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BN.V,AKBNKC2911240066.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BO.V,AKBNKC2911240062.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BP.V,AKBNKC1511240088.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BQ.V,AKBNKC1511240079.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BR.V,AKBNKC1511240070.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1BS.V,AKBNKC1511240067.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
AB1PV.V,AKBNKP3009240068.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1PW.V,AKBNKP3009240060.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1PX.V,AKBNKP3009240053.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1PY.V,AKBNKP3009240047.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1PZ.V,AKBNKP3110240060.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QA.V,AKBNKP3110240055.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QB.V,AKBNKP3110240050.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QC.V,AKBNKP3110240045.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QD.V,AKBNKP1510240054.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QE.V,AKBNKP1510240049.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QF.V,AKBNKP1510240043.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QG.V,AKBNKP2911240062.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QH.V,AKBNKP2911240056.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QI.V,AKBNKP2911240050.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QJ.V,AKBNKP2911240044.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QK.V,AKBNKP1511240059.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QL.V,AKBNKP1511240053.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
AB1QM.V,AKBNKP1511240047.00IYF00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,EPW
ABACI.V,AKBNKC3009240110.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACJ.V,AKBNKC3009240095.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACK.V,AKBNKC3009240085.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACL.V,AKBNKC3009240076.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACM.V,AKBNKC3009240068.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACN.V,AKBNKC3110240085.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACO.V,AKBNKC3110240076.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACP.V,AKBNKC3110240068.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACQ.V,AKBNKC3110240061.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACR.V,AKBNKC3110240054.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACS.V,AKBNKC2911240095.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACT.V,AKBNKC2911240083.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
ABACU.V,AKBNKC2911240075.00AKM00000.1NA,AKBNK,F_AKBNK0924,2024-09-30,D_EQ_FPD,ECW
