Bist Kodu,Yüzde(%),Tutar,Rüçhan,YKK,SPK Onay,Tarih,Son Güncelleme Em,Son Güncelleme Span,Son Güncelleme Tarihi,Çekilme Tarihi
IDGYO - İdealist Gayrimenkul Yatırım Ortaklığı A.Ş.,%200,100.000.000 TL,1 TL,29.12.2023,02.08.2024,14.08.2024 Bitiş : 29.08.2024,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
AKYHO - Akdeniz Yatırım Holding A.Ş.,%100,124.095.000 TL,1 TL,17.05.2023,08.08.2024,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
SEYKM - Seyitler Kimya Sanayi A.Ş.,%100,100.000.000 TL,1 TL,29.11.2023,02.08.2024,08.08.2024 Bitiş : 22.08.2024,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
YESIL - Yeşil Yatırım Holding A.Ş.,%400,860.000.000 TL,1 TL,13.08.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
TATGD - Tat Gıda Sanayi A.Ş.,%80,108.800.000 TL,1 TL,09.08.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
MEGAP - Mega Polietilen Köpük San. ve Tic. A.Ş.,%200,550.000.000 TL,1 TL,05.08.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
EUKYO - Euro Kapital Yatırım Ortaklığı A.Ş.,%200,40.000.000 TL,1 TL,19.07.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
ETYAT - Euro Trend Yatırım Ortaklığı A.Ş.,%200,40.000.000 TL,1 TL,19.07.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
EUYO - Euro Menkul Kıymetler Yatırım Ortaklığı A.Ş.,%200,40.000.000 TL,1 TL,19.07.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
HDFGS - Hedef Girişim Sermayesi Yatırım Ortaklığı A.Ş.,%100,565.000.000 TL,1 TL,05.07.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
HEKTS - Hektaş Ticaret T.A.Ş.,%233.20,5.900.000.000 TL,1 TL,01.07.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
MANAS - Manas Enerji Yönetimi San. ve Tic. A.Ş.,%50,41.382.000 TL,1 TL,28.05.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
DAGI - Dagi Giyim San. ve Tic. A.Ş.,%250,324.750.000 TL,1 TL,10.05.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
GLRYH - Güler Yatırım Holding A.Ş.,%200,240.000.000 TL,2 TL,06.05.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
DENGE - Denge Yatırım Holding A.Ş.,%100,300.000.000 TL,1 TL,15.04.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
BAGFS - Bagfaş Bandırma Gübre Fabrikaları A.Ş.,%600,810.000.000 TL,1 TL,29.03.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
BSOKE - Batısöke Söke Çimento Sanayii T.A.Ş.,%300,1.200.000.000 TL,1 TL,26.01.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
ATLAS - Atlas Menkul Kıymetler Yatırım Ortaklığı A.Ş.,%100,60.000.000 TL,1 TL,17.01.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
MTRYO - Metro Yatırım Ortaklığı A.Ş.,%100,42.000.000 TL,1 TL,17.01.2024,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
SNPAM - Sönmez Pamuklu Sanayii A.Ş.,%100,130.000.000 TL,1 TL,24.08.2023,...,...,Bedelli sermaye artırımı yapacak şirketler,Son güncelleme: 26.08.2024,26.08.2024,2024-08-26 15:20:27
